S.no	Site code	Region	Site name	Customer Group	Site Status	Supervisor	ASSISTANT MANAGER	MANAGER	SR MANAGER	JANUARY 2026 BILLING	JANUARY 2026 EXPENSE	JANUARY 2026 Consumption Value	FEBRUARY 2026 BILLING	FEBRUARY 2026 EXPENSE	FEBRUARY 2026 Consumption Value	MARCH 2026 Billing	MARCH 2026 EXPENSE	March 2026 Consumption Value	APRIL 2026 Billing	APRIL 2026 Expense	April 2026 Consumption Value	MAY 2026 BILLING	MAY 2026 Expense	May 2026 Consumption Value	June 2026 BILLING	June 2026 Expense	June 2026 Consumption Value	July 2026 BILLING	July 2026 Expense	July 2026 Consumption Value	Code	Average Monthly Consumption	Average Monthly Billing	Average Manpower Expense	AVERAGE EXPENSE	AVG GROSS MARGIN	Aug 2026 BILLING	Aug 2026 Expense	Aug 2026 Consumption Value
1	ST-NO-1	NORTH	NORTH Site Facility 1	IT Parks	Active	Ramesh Babu	Amit Roy	Praveen Sharma	Rajesham V.	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	ST-NO-1	157500	450000	225000	382500	25.0%	450000	225000	157500
2	ST-NO-2	NORTH	NORTH Site Facility 2	Healthcare	Active	Ganesh Chary	Kavita Reddy	Deepak Verma	Sunil Kumar	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	ST-NO-2	175000	500000	250000	425000	25.0%	500000	250000	175000
3	ST-NO-3	NORTH	NORTH Site Facility 3	Retail Outlets	Active	Srinivas K.	Nikhil Nair	Sanjay Patel	Anitha Rao	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	ST-NO-3	22000	550000	275000	297000	25.0%	550000	275000	22000
4	ST-NO-4	NORTH	NORTH Site Facility 4	Manufacturing	Active	Mahesh Y.	Suresh Das	Ritu Gupta	Vikramaditya Singh	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	ST-NO-4	24000	600000	300000	324000	25.0%	600000	300000	24000
5	ST-NO-5	NORTH	NORTH Site Facility 5	Commercial Hubs	Active	Dharmendra P.	Neha Kapoor	Manish Joshi	Rajesham V.	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	ST-NO-5	26000	650000	325000	351000	25.0%	650000	325000	26000
6	ST-SO-1	SOUTH	SOUTH Site Facility 1	IT Parks	Active	Ramesh Babu	Amit Roy	Praveen Sharma	Rajesham V.	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	450000	225000	157500	ST-SO-1	157500	450000	225000	382500	25.0%	450000	225000	157500
7	ST-SO-2	SOUTH	SOUTH Site Facility 2	Healthcare	Active	Ganesh Chary	Kavita Reddy	Deepak Verma	Sunil Kumar	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	500000	250000	175000	ST-SO-2	175000	500000	250000	425000	25.0%	500000	250000	175000
8	ST-SO-3	SOUTH	SOUTH Site Facility 3	Retail Outlets	Active	Srinivas K.	Nikhil Nair	Sanjay Patel	Anitha Rao	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	550000	275000	22000	ST-SO-3	22000	550000	275000	297000	25.0%	550000	275000	22000
9	ST-SO-4	SOUTH	SOUTH Site Facility 4	Manufacturing	Active	Mahesh Y.	Suresh Das	Ritu Gupta	Vikramaditya Singh	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	600000	300000	24000	ST-SO-4	24000	600000	300000	324000	25.0%	600000	300000	24000
10	ST-SO-5	SOUTH	SOUTH Site Facility 5	Commercial Hubs	Active	Dharmendra P.	Neha Kapoor	Manish Joshi	Rajesham V.	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	650000	325000	26000	ST-SO-5	26000	650000	325000	351000	25.0%	650000	325000	26000
